Data File Name,2100 expert_mRNA Nano_DE13804677_2022-10-19_15-49-14.xad
Data File Path,F:\BPC\PAb_ME1_020
Date Created,"Wednesday, October 19, 2022 1:49:13 PM"
Date Last Modified,"Wednesday, October 19, 2022 2:19:41 PM"
Version Created,B.02.10.SI764
Version Last Modified,B.02.10.SI764
 
Assay Name,mRNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,mRNA Nano
Assay Version,2.5
 
Number of Samples Run,12
 
Sample Name,Sample 3
Number of Events,1420
 
Time,Value
24.25,0.6073864
24.3,0.6435591
24.35,0.665749
24.4,0.6534703
24.45,0.6472405
24.5,0.5876651
24.55,0.5472056
24.6,0.5118284
24.65,0.5035465
24.7,0.5222378
24.75,0.5261316
24.8,0.5152484
24.85,0.4828412
24.9,0.4307856
24.95,0.3826859
25,0.3652353
25.05,0.3756635
25.1,0.3689415
25.15,0.3785716
25.2,0.3917124
25.25,0.3953382
25.3,0.3957815
25.35,0.391148
25.4,0.3777162
25.45,0.3638588
25.5,0.3548689
25.55,0.3605768
25.6,0.359263
25.65,0.3784113
25.7,0.3858843
25.75,0.3989443
25.8,0.4099695
25.85,0.393768
25.9,0.369422
25.95,0.3478597
26,0.3712928
26.05,0.408442
26.1,0.4261449
26.15,0.4436514
26.2,0.42979
26.25,0.4075854
26.3,0.3831505
26.35,0.3989318
26.4,0.4368932
26.45,0.4508047
26.5,0.472324
26.55,0.5342452
26.6,0.6260695
26.65,0.8108999
26.7,1.140903
26.75,1.576093
26.8,1.984619
26.85,2.25331
26.9,2.310375
26.95,2.173417
27,1.929817
27.05,1.701713
27.1,1.546924
27.15,1.4316
27.2,1.333587
27.25,1.203962
27.3,1.081093
27.35,0.9698417
27.4,0.8585487
27.45,0.7901866
27.5,0.770122
27.55,0.767178
27.6,0.7844272
27.65,0.8036607
27.7,0.8140896
27.75,0.8024412
27.8,0.7871753
27.85,0.7850973
27.9,0.7582263
27.95,0.7097469
28,0.6589077
28.05,0.6132429
28.1,0.5811247
28.15,0.5525105
28.2,0.5484695
28.25,0.5568163
28.3,0.5587984
28.35,0.5521379
28.4,0.5552939
28.45,0.5622342
28.5,0.5376597
28.55,0.5226969
28.6,0.5145805
28.65,0.4992297
28.7,0.511209
28.75,0.5340598
28.8,0.5481044
28.85,0.5438076
28.9,0.5159971
28.95,0.5007542
29,0.4944074
29.05,0.4998703
29.1,0.5099
29.15,0.5136911
29.2,0.5267935
29.25,0.5476449
29.3,0.6104242
29.35,0.6563541
29.4,0.6839601
29.45,0.7259904
29.5,0.7596682
29.55,0.8047888
29.6,0.8578013
29.65,0.9264933
29.7,0.9871717
29.75,1.04666
29.8,1.1682
29.85,1.34127
29.9,1.54058
29.95,1.721885
30,1.82722
30.05,1.875234
30.1,1.925542
30.15,2.013399
30.2,2.114585
30.25,2.236362
30.3,2.325645
30.35,2.356666
30.4,2.331892
30.45,2.330652
30.5,2.361954
30.55,2.417426
30.6,2.492021
30.65,2.610891
30.7,2.66215
30.75,2.714932
30.8,2.713516
30.85,2.700729
30.9,2.637784
30.95,2.575433
31,2.504028
31.05,2.412851
31.1,2.33226
31.15,2.250857
31.2,2.141487
31.25,1.999335
31.3,1.848059
31.35,1.660539
31.4,1.463863
31.45,1.295692
31.5,1.154375
31.55,1.02307
31.6,0.928295
31.65,0.8519129
31.7,0.7893118
31.75,0.7449447
31.8,0.7095618
31.85,0.6846489
31.9,0.6756178
31.95,0.6660475
32,0.6564614
32.05,0.6443342
32.1,0.6609944
32.15,0.6791046
32.2,0.690681
32.25,0.7021405
32.3,0.6988902
32.35,0.6896929
32.4,0.6801445
32.45,0.6925318
32.5,0.7210154
32.55,0.7421795
32.6,0.8070784
32.65,0.8903024
32.7,0.9605011
32.75,1.046717
32.8,1.138155
32.85,1.201041
32.9,1.222109
32.95,1.213776
33,1.220647
33.05,1.200602
33.1,1.195667
33.15,1.224499
33.2,1.265113
33.25,1.285904
33.3,1.289296
33.35,1.301961
33.4,1.314892
33.45,1.312191
33.5,1.314315
33.55,1.313836
33.6,1.289884
33.65,1.230627
33.7,1.171498
33.75,1.125486
33.8,1.041209
33.85,0.9703894
33.9,0.9318476
33.95,0.8964381
